Name of Institution,Type,Acronym,Ownership,Url,Year
"Abubakar Tafawa Balewa University, Bauchi",University,ATBU,Federal,http://www.atbu.edu.ng,1988
"Ahmadu Bello University, Zaria",University,ABU,Federal,http://www.abu.edu.ng,1962
"Bayero University, Kano",University,BUK,Federal,http://www.buk.edu.ng,1975
"Federal University Gashua, Yobe",University,FUGA,Federal,http://www.fugashua.edu.ng,2013
"Federal University of Petroleum Resources, Effurun",University,FUPRE,Federal,http://www.fupre.edu.ng,2007
"Federal University of Technology, Akure",University,FUTA,Federal,http://www.futa.edu.ng,1981
"Federal University of Technology, Minna",University,FUTMINNA,Federal,http://www.futminna.edu.ng,1982
"Federal University of Technology, Owerri",University,FUTO,Federal,http://www.futo.edu.ng,1980
"Federal University, Dutse, Jigawa State",University,FUD,Federal,http://www.fud.edu.ng/,2011
"Federal University, Dutsin-Ma, Katsina",University,FUDMA,Federal,http://www.fudutsinma.edu.ng,2011
"Federal University, Kashere, Gombe State",University,FUK,Federal,http://www.fukashere.edu.ng,2011
"Federal University, Lafia, Nasarawa State",University,FULAFIA,Federal,http://www.fulafia.edu.ng,2011
"Federal University, Lokoja, Kogi State",University,FUL,Federal,http://www.fulokoja.edu.ng,2011
"Alex Ekwueme University, Ndufu-Alike, Ebonyi State",University,FUNAI,Federal,http://www.funai.edu.ng,2011
"Federal University, Otuoke, Bayelsa",University,FUO,Federal,http://www.fuotuoke.edu.ng/,2011
"Federal University, Oye-Ekiti, Ekiti State",University,FUOYE,Federal,http://www.fuoye.edu.ng/,2011
"Federal University, Wukari, Taraba State",University,FUWUKARI,Federal,http://www.fuwukari.edu.ng/,2011
"Federal University, Birnin Kebbi",University,FUBK,Federal,http://www.fubk.edu.ng,2013
"Federal University, Gusau Zamfara",University,FUGUS,Federal,http://www.fugusau.edu.ng,2013
Michael Okpara University of Agricultural Umudike,University,MOUAU,Federal,http://www.mouau.edu.ng,1992
"Modibbo Adama University of Technology, Yola",University,MAUTECH,Federal,http://www.mautech.edu.ng,1981
"National Open University of Nigeria, Lagos",University,NOUN,Federal,http://www.nou.edu.ng,2002
Nigeria Police Academy Wudil,University,POLAC,Federal,http://polac.edu.ng/,2013
Nigerian Defence Academy Kaduna,University,NDA,Federal,http://www.nda.edu.ng,1985
"Nnamdi Azikiwe University, Awka",University,UNIZIK,Federal,http://www.unizik.edu.ng,1992
"Obafemi Awolowo University,Ile-Ife",University,OAU,Federal,http://www.oauife.edu.ng,1962
"University of Abuja, Gwagwalada",University,UNIABUJA,Federal,http://www.uniabuja.edu.ng,1988
"Federal University of Agriculture, Abeokuta",University,FUNAAB,Federal,http://www.unaab.edu.ng,1988
"University of Agriculture, Makurdi",University,UAM,Federal,http://www.uam.edu.ng,1988
University of Benin,University,UNIBEN,Federal,http://www.uniben.edu.ng,1970
University of Calabar,University,UNICAL,Federal,http://www.unical.edu.ng,1975
University of Ibadan,University,UI,Federal,http://www.ui.edu.ng,1948
University of Ilorin,University,UIL,Federal,http://www.unilorin.edu.ng,1975
University of Jos,University,UNIJOS,Federal,http://www.unijos.edu.ng,1975
University of Lagos,University,UNILAG,Federal,http://www.unilag.edu.ng,1962
University of Maiduguri,University,UNIMAID,Federal,http://www.unimaid.edu.ng,1975
"University of Nigeria, Nsukka",University,UNN,Federal,http://www.unn.edu.ng,1960
University of Port-Harcourt,University,UNIPORT,Federal,http://www.uniport.edu.ng,1975
University of Uyo,University,UNIUYO,Federal,http://www.uniuyo.edu.ng,1991
Usumanu Danfodiyo University,University,UDU,Federal,http://www.udusok.edu.ng,1975
"Nigerian Maritime University Okerenkoko, Delta State",University,NMU,Federal,,2018
"Air Force Institute of Technology, Kaduna",University,AFIT,Federal,https://afit.edu.ng,2018
Nigerian Army University Biu,University,NAUB,Federal,https://naub.edu.ng/,2018
"Abia State University, Uturu",University,ABSU,State,http://www.absu.edu.ng,1981
Adamawa State University Mubi,University,ADSU,State,http://www.adsu.edu.ng,2002
"Adekunle Ajasin University, Akungba",University,AAUA,State,http://www.aaua.edu.ng,1999
"Akwa Ibom State University, Ikot Akpaden",University,AKSU,State,http://www.aksu.edu.ng,2010
"Ambrose Alli University, Ekpoma",University,AAU,State,http://www.aauekpoma.edu.ng,1980
"Chukwuemeka Odumegwu Ojukwu University, Uli",University,COOU,State,http://coou.edu.ng/,2000
"Bauchi State University, Gadau",University,BASUG,State,http://www.basug.edu.ng,2011
"Benue State University, Makurdi",University,BSU,State,http://www.bsum.edu.ng,1992
"Yobe State University, Damaturu",University,YSU,State,http://www.ysu.edu.ng,2006
"Cross River State University of Technology, Calabar",University,CRUTECH,State,http://www.crutech.edu.ng,2004
Delta State University Abraka,University,DELSU,State,http://www.delsu.edu.ng,1992
"Ebonyi State University, Abakaliki",University,EBSU,State,http://www.ebsu.edu.ng,2000
Ekiti State University,University,EKSU,State,http://www.eksu.edu.ng,1982
"Enugu State University of Science and Technology, Enugu",University,ESUT,State,http://www.esut.edu.ng,1982
"Gombe State Univeristy, Gombe",University,GSU,State,http://www.gomsu.org,2004
"Ibrahim Badamasi Babangida University, Lapai",University,IBBU,State,http://www.ibbu.edu.ng,2005
"Ignatius Ajuru University of Education,Rumuolumeni",University,IAUE,State,http://www.iaue.edu.ng,2010
"Imo State University, Owerri",University,IMSU,State,http://www.imsu.edu.ng,1992
"Sule Lamido University, Kafin Hausa, Jigawa",University,SLU,State,http://www.slu.edu.ng,2013
"Kaduna State University, Kaduna",University,KASU,State,http://www.kasu.edu.ng,2004
"Kano University of Science & Technology, Wudil",University,KUT,State,http://www.kustportal.edu.ng,2000
"Kebbi State University of Science and Technology, Aliero",University,KSUSTA,State,http://www.ksusta.edu.ng,2006
Kogi State University Anyigba,University,KSU,State,http://www.ksu.edu.ng,1999
"Kwara State University, Ilorin",University,KWASU,State,http://www.kwasu.edu.ng,2009
"Ladoke Akintola University of Technology, Ogbomoso",University,LAUTECH,State,http://www.lautech.edu.ng,1990
Ondo State University of Science and Technology Okitipupa,University,OSUSTECH,State,http://www.osustech.edu.ng,2008
River State University,University,RSU,State,http://www.rsu.edu.ng,1979
"Olabisi Onabanjo University,Ago Iwoye",University,OSU,State,http://www.oouagoiwoye.edu.ng,1982
"Lagos State University, Ojo",University,LASU,State,http://www.lasu.edu.ng,1983
Niger Delta University Yenagoa,University,NDU,State,http://www.ndu.edu.ng,2000
Nasarawa State University Keffi,University,NSUK,State,http://www.nsuk.edu.ng,2002
Plateau State University Bokkos,University,PLASU,State,http://www.plasu.edu.ng,2005
Tai Solarin University of Education Ijebu Ode,University,TASUED,State,http://www.tasued.edu.ng,2005
Umar Musa Yar' Adua University Katsina,University,UMYU,State,http://www.umyu.edu.ng,2006
Osun State University Osogbo,University,UNIOSUN,State,http://www.uniosun.edu.ng,2006
"Taraba State University, Jalingo",University,TSU,State,http://www.tsuniversity.edu.ng,2008
Sokoto State University,University,SSU,State,http://www.ssu.edu.ng,2009
Yusuf Maitama Sule University Kano,University,YUMSUK,State,http://www.nwu.edu.ng,2012
Oyo State Technical University Ibadan,University,TECH-U,State,https://tech-u.edu.ng/,2012
Ondo State University of Medical Sciences,University,UNIMED,State,http://www.unimed.edu.ng,2015
Edo University Iyamo,University,EUI,State,http://www.edouniversity.edu.ng/,2016
"Eastern Palm University Ogboko, Imo State",University,EPU,State,https://www.epu.edu.ng/,2016
"University of Africa Toru Orua, Bayelsa State",University,UAT,State,https://www.uat.edu.ng/public/,2016
"Bornu State University, Maiduguri",University,BSUMAID,State,https://www.bosu.edu.ng,2016
Moshood Abiola University of Science and Technology Abeokuta,University,MAUSTECH,State,https://www.mapoly.edu.ng,2017
Gombe State University of Science and Technology,University,GSUST,State,https://www.gsu.edu.ng,2017
Zamfara State University,University,ZSU,State,,2018
"Achievers University, Owo",University,AUO,Private,http://www.achievers.edu.ng,2007
"Adeleke University, Ede",University,AUE,Private,http://www.adelekeuniversity.edu.ng,2011
"Afe Babalola University, Ado-Ekiti - Ekiti State",University,ABUAD,Private,http://www.abuad.edu.ng,2009
"African University of Science & Technology, Abuja",University,AUST,Private,http://aust.edu.ng,2007
"Ajayi Crowther University, Ibadan",University,ACU,Private,http://www.acu.edu.ng,2005
"Al-Hikmah University, Ilorin",University,HUI,Private,https://www.alhikmah.edu.ng,2005
"Al-Qalam University, Katsina",University,AUK,Private,http://www.auk.edu.ng,2005
"American University of Nigeria, Yola",University,AUN,Private,http://www.aun.edu.ng,2003
Augustine University,University,AUI,Private,http://www.augustineuniversity.edu.ng/,2015
"Babcock University,Ilishan-Remo",University,BABCOCK,Private,http://www.babcock.edu.ng,1999
Baze University,University,BAZE,Private,http://www.bazeuniversity.edu.ng,2011
"Bells University of Technology, Otta",University,BUT,Private,http://www.bellsuniversity.org,2005
"Benson Idahosa University, Benin City",University,BIU,Private,http://www.idahosauniversity.com,2002
"Bingham University, New Karu",University,BHU,Private,http://www.binghamuni.edu.ng,2005
"Bowen University, Iwo",University,BOWEN,Private,http://www.bowenuniversity-edu.org,2001
"Caleb University, Lagos",University,CUL,Private,http://www.calebuniversity.edu.ng,2007
"Caritas University, Enugu",University,CAU,Private,http://www.caritasuni.edu.ng/,2005
Chrisland University,University,CHRISLAND,Private,http://www.chrislanduniversity.edu.ng,2015
Covenant University Ota,University,CUOTA,Private,http://www.covenantuniversity.edu.ng/,2002
Crawford University Igbesa,University,CUI,Private,http://www.crawforduniversity.edu.ng,2005
Crescent University,University,CUAB,Private,http://www.crescent-university.edu.ng,2005
"Edwin Clark University, Kaigbodo",University,ECU,Private,http://www.edwinclarkuniversity.edu.ng/,2015
"Elizade University, Ilara-Mokin",University,EUI,Private,http://www.elizadeuniversity.edu.ng,2012
"Evangel University, Akaeze",University,EUA,Private,http://www.evangeluniversity.edu.ng,2012
"Fountain Unveristy, Oshogbo",University,FUO,Private,http://www.fountainuniversity.edu.ng,2007
"Godfrey Okoye University, Ugwuomu-Nike - Enugu State",University,GOU,Private,http://www.gouni.edu.ng,2009
"Gregory University, Uturu",University,GUU,Private,http://www.gregoryuniversity.com,2012
"Hallmark University, Ijebi Itele, Ogun",University,HU,Private,http://www.hallmark.edu.ng,2015
"Hezekiah University, Umudi",University,UNIHEZ,Private,http://hezekiah.edu.ng/,2015
Igbinedion University Okada,University,IUO,Private,http://www.iuokada.edu.ng,1999
"Joseph Ayo Babalola University, Ikeji-Arakeji",University,JABU,Private,http://www.jabu.edu.ng,2006
"Kings University, Ode Omu",University,UNIKINGS,Private,http://www.kingsuniversity.edu.ng/,2015
"Kwararafa University, Wukari",University,KWU,Private,http://www.wukarijubileeuniversity.org,2005
"Landmark University, Omu-Aran.",University,LMU,Private,http://www.lmu.edu.ng,2011
"Lead City University, Ibadan",University,LCU,Private,http://www.lcu.edu.ng,2005
"Madonna University, Okija",University,MUO,Private,http://www.madonnauniversity.edu.ng,1999
"Mcpherson University, Seriki Sotayo, Ajebo",University,MCU,Private,http://www.mcu.edu.ng,2012
Micheal & Cecilia Ibru University,University,MCIU,Private,http://mciu.edu.ng/,2015
Mountain Top University,University,MTU,Private,http://www.mountaintopuniversity.org/,2015
"Nile University of Nigeria, Abuja",University,NTNU,Private,http://www.ntnu.edu.ng,2009
"Novena University, Ogume",University,NUO,Private,http://www.novenauniversity.edu.ng,2005
"Obong University, Obong Ntak",University,OUO,Private,http://www.obonguniversity.net,2007
"Oduduwa University, Ipetumodu - Osun State",University,OUI,Private,http://www.oduduwauniversity.edu.ng,2009
"Pan-Atlantic University, Lagos",University,PAU,Private,http://www.pau.edu.ng,2002
"Paul University, Awka - Anambra State",University,PUA,Private,http://www.pauluniversity.edu.ng,2009
"Redeemer's University, Ede",University,RUN,Private,http://www.run.edu.ng,2005
"Renaissance University, Enugu",University,RNU,Private,http://www.renaissanceuniversityng.com,2005
"Rhema University, Obeama-Asa - Rivers State",University,RURivers,Private,http://www.rhemauniversity.edu.ng,2009
"Ritman University, Ikot Ekpene, Akwa Ibom",University,RU,Private,http://www.ritmanuniversity.edu.ng,2015
"Salem University, Lokoja",University,SU,Private,http://www.salemuniversity.org,2007
"Samuel Adegboyega University, Ogwa.",University,SAU,Private,http://www.sau.edu.ng,2011
"Southwestern University, Oku Owa",University,SUNOGWA,Private,http://www.southwesternuniversity.edu.ng,2012
Summit University,University,SUNO,Private,http://www.summituniversity.edu.ng,2015
"Tansian University, Umunya",University,TANU,Private,http://tansianuniversity.edu.ng/,2007
"University of Mkar, Mkar",University,NKST,Private,http://www.unimkar.edu.ng,2005
"Veritas University, Abuja",University,VUNA,Private,http://www.veritas.edu.ng,2007
"Wellspring University, Evbuobanosa - Edo State",University,WU,Private,http://www.wellspringuniversity.net,2009
"Wesley University. of Science & Technology, Ondo",University,WUSTO,Private,http://www.wusto.edu.ng,2007
"Western Delta University, Oghara Delta State",University,WDU,Private,http://wdu.edu.ng,2007
Christopher University Mowe,University,CU,Private,http://www.christopheruniversity.edu.ng/,2015
"Kola Daisi University Ibadan, Oyo State",University,KDU,Private,http://www.koladaisiuniversity.edu.ng/,2016
Anchor University Ayobo Lagos State,University,AUL,Private,http://www.aul.edu.ng/,2016
Dominican University Ibadan Oyo State,University,DU,Private,http://www.dui.edu.ng/,2016
"Legacy University, Okija Anambra State",University,LUO,Private,http://www.legacyuniversity.edu.ng/,2016
Arthur Javis University Akpoyubo Cross river State,University,AJU,Private,http://www.arthurjarvisuniversity.edu.ng/,2016
"Crown Hill University Eiyenkorin, Kwara State",University,CHU,Private,http://www.crownhilluniversity.edu.ng,2016
Coal City University Enugu State,University,CCU,Private,http://www.portal.ccu.edu.ng,2016
Clifford University Owerrinta Abia State,University,CLU,Private,http://www.clifforduni.edu.ng/,2016
"Admiralty University, Ibusa Delta State",University,ADUN,Private,http://www.adun.edu.ng,2017
"Spiritan University, Nneochi Abia State",University,SUN,Private,http://www.spiritanuniversity.edu.ng,2017
"Precious Cornerstone University, Oyo",University,PCU,Private,http://www.pcu.edu.ng,2017
"PAMO University of Medical Sciences, Portharcourt",University,PUMS,Private,http://www.pums.edu.ng,2017
Atiba University Oyo,University,OAU,Private,http://www.atibauniversity.edu.ng,2017
"Eko University of Medical and Health Sciences Ijanikin, Lagos",University,EKOUNIVMED,Private,http://www.ekounivmed.edu.ng,2017
"Skyline University, Kano",University,SUK,Private,http://www.sun.edu.ng,2018
"Akanu Ibiam Federal Polytechnic Unwana, P.M.B 1007, Afikpo, Ebonyi State.",Polytechnic,AKANUIBIAMFEDPOLY,Federal,www.akanuibiampoly.edu.ng,1981
"Auchi Polytechnic, Auchi, Edo State.",Polytechnic,AUCHIPOLY,Federal,www.auchipoly.edu.ng,1973
"Federal Polytechnic Ado Ekiti, Ekiti State.",Polytechnic,FEDPO-ADO,Federal,www.fedpolyado.edu.ng,1977
"Federal Polytechnic Bali, Taraba State.",Polytechnic,FEDPOBALI,Federal,www.fedpobali.edu.ng,2007
"Federal Polytechnic Bauchi, P.M. B 231, Bauchi State.",Polytechnic,FEDPO-BAU ,Federal,www.fptb.edu.ng,1979
"Federal Polytechnic Bida, P.M.B 55, Niger State.",Polytechnic,FEDPO-BID,Federal,www.fedpolybida.edu.ng,1977
"Federal Polytechnic Damaturu, P.M.B 1006, Yobe State.",Polytechnic,FEDPO-DAM ,Federal,www.fedpodam.edu.ng,1993
"Federal Polytechnic Ede, Osun State.",Polytechnic,FEDPO-EDE ,Federal,www.federalpolyede.edu.ng,1992
"Federal Polytechnic Ekowe, Bayelsa State",Polytechnic,FEDPO-EKO,Federal,,2007
"Federal Polytechnic Idah P.M.B 1035, Kogi State.",Polytechnic,FEDPO-IDA,Federal,www.fepoda.edu.ng,1977
"Federal Polytechnic Ilaro, P.M.B 50, Ogun State.",Polytechnic,FEDPO-ILA,Federal,www.federalpolyilaro.edu.ng,1979
"Federal Polytechnic Ile-Oluji, Ondo State",Polytechnic,FEDPOLEL,Federal,www.fedpolel.edu.ng,2016
